"","Sp","Pot_Area","Hab_Area","BAU_Area","Hab_perc","BAU_perc","Ext_015","Ext_025","Ext_035"
"18","Anemopaegma arvense",36045537.9145176,13680649.7035298,19474107.4475463,0.37953795379538,0.54026402640264,0.0882182239344314,0.142663107002989,0.193856943198094
"19","Anemopaegma mirabile",606707.073808713,535329.771007688,571018.4224082,0.882352941176471,0.941176470588235,0.0090524706935956,0.0150418789890954,0.0209950865669291
"20","Angelonia alternifolia",83273.5199345292,83273.5199345292,83273.5199345292,1,1,0,0,0
"21","Anteremanthus hatschbachii",1082555.75914888,606707.073808713,963593.587813838,0.56043956043956,0.89010989010989,0.0173099833586762,0.0286831860563072,0.0399247605320056
"22","Arrojadoa eriocaulis",582914.639541705,321197.862604613,535329.771007688,0.551020408163265,0.918367346938776,0.0126924341788679,0.0210644313848282,0.0293654372000171
"23","Arthrocereus melanurus_subsp._odorus",1356168.75321948,975489.804947342,1308583.88468546,0.719298245614035,0.964912280701754,0.00534338544724977,0.00888977088443743,0.0124235119079801
"24","Arthropogon xerachne",166547.039869058,47584.8685340167,118962.171335042,0.285714285714286,0.714285714285714,0.0492183426538935,0.0806772847750815,0.111095330669741
"25","Arundinella deppeana",535329.771007688,142754.60560205,249820.559803588,0.266666666666667,0.466666666666667,0.108028419920425,0.17348318162062,0.234134734423904
"26","Aspilia belo-horizontinae",47584.8685340167,11896.2171335042,23792.4342670083,0.25,0.5,0.0987495373891698,0.159103584746285,0.215415902103249
"27","Aspilia cordifolia",1939083.39276118,1213414.14761743,1879602.30709366,0.625766871165644,0.969325153374233,0.00466237240705403,0.00775853790340242,0.0108450722549864
"28","Aspilia cylindrocephala",1867706.08996016,832735.199345292,1142036.8448164,0.445859872611465,0.611464968152866,0.0711282878192938,0.115713703068237,0.15815903887795
"29","Aspilia diamantinae",701876.810876746,523433.553874184,678084.376609738,0.745762711864407,0.966101694915254,0.00515956986757971,0.00858448508537946,0.0119976094230602
"30","Aspilia diffusiflora",1260999.01615144,820838.982211788,1225310.36475093,0.650943396226415,0.971698113207547,0.0042972561400203,0.00715182954436777,0.0099982191916943
"31","Aspilia eglerii",689980.593743242,511537.33674068,666188.159476234,0.741379310344828,0.96551724137931,0.00524986898802571,0.00873446096364527,0.0122068464756936
"32","Aspilia espinhacensis",1153933.06194991,630499.508075721,987386.022080846,0.54639175257732,0.855670103092783,0.0231093481876176,0.038218122582427,0.053093221833258
"33","Aspilia jugata",178443.257002563,154650.822735554,178443.257002563,0.866666666666667,1,0,0,0
"34","Aspilia pereirae",2046149.34696272,642395.725209225,666188.159476234,0.313953488372093,0.325581395348837,0.15491783351772,0.244621020839568,0.32480245733665
"35","Aspilia prostrata",142754.60560205,95169.7370680334,118962.171335042,0.666666666666667,0.833333333333333,0.026977656474902,0.0445572077956332,0.0618191501460312
"36","Aspilia reticulata",1760640.13575862,1165829.27908341,1677366.61582409,0.662162162162162,0.952702702702703,0.00724151049892297,0.0120400276260135,0.0168153510288876
"37","Astraea cincta",4865552.80760321,1213414.14761743,1986668.2612952,0.249388753056235,0.408312958435208,0.125723158806189,0.20062918012677,0.269117426475275
"38","Attalea barreirensis",1986668.2612952,1225310.36475093,1558404.44448905,0.616766467065868,0.784431137724551,0.0357642625873427,0.0588936449057634,0.0814682165013758
