,Sp,Pot_Area,Hab_Area,BAU_Area,,,,
122,Diplusodon panniculatus,107764,0,0,1.00,,,
123,Diplusodon retroimbricatus,910010.055,71842.89908,47895.26606,0.45,,,
124,Diplusodon villosissimus,802245.7064,215528.6972,215528.6972,0.23,,,
125,Discocactus catingicola,3604118.771,874088.6055,670533.7248,0.29,,,
126,Discocactus horstii,562769.3761,227502.5138,203554.8807,0.18,,,
127,Discocactus pseudoinsignis,694481.3578,311319.2294,287371.5963,0.16,,,
128,Disynaphia praeficta,1508700.881,455005.0275,395135.945,0.24,,,
129,Ditassa auriflora,311319.2294,35921.44954,23947.63303,0.40,,,
130,Ditassa cipoensis,1676334.312,502900.2936,419083.578,0.24,,,
131,Ditassa itambensis,167633.4312,107764.3486,107764.3486,0.08,,,
132,Dyckia rariflora,1748177.211,598690.8257,514874.1101,0.22,,,
133,Echinocoryne echinocephala,4777552.789,862114.789,790271.8899,0.30,,,
134,Eduandrea selloana,1532648.514,478952.6606,407109.7615,0.23,,,
135,Encholirium biflorum,1724229.578,586717.0092,502900.2936,0.22,,,
136,Encholirium disjunctum,251450.1468,47895.26606,47895.26606,0.28,,,
137,Encholirium heloisae,1748177.211,538821.7431,431057.3945,0.24,,,
138,Encholirium luxor,1963705.908,466978.844,407109.7615,0.27,,,
139,Encholirium pedicellatum,694481.3578,275397.7798,251450.1468,0.18,,,
140,Encholirium scrutor,155659.6147,23947.63303,23947.63303,0.31,,,
141,Encholirium vogelii,1496727.064,466978.844,395135.945,0.23,,,
142,Eremanthus argenteus,3568197.321,742376.6239,706455.1743,0.28,,,
143,Eriope crassipes_subsp._cristalinae,754350.4404,71842.89908,59869.08257,0.40,,,
144,Eriope machrisae,3663987.853,766324.2569,730402.8073,0.28,,,
145,Esenbeckia irwiniana,1436857.982,562769.3761,526847.9266,0.18,,,
146,Esterhazya caesarea,1592517.596,550795.5596,478952.6606,0.21,,,
147,Eugenia blanda,658559.9083,215528.6972,203554.8807,0.21,,,
148,Euplassa incana,2107391.706,766324.2569,706455.1743,0.20,,,
149,Evolvulus glaziovii,1065669.67,431057.3945,395135.945,0.18,,,
150,Evolvulus kramerioides,1305146,167633.4312,131711.9817,0.37,,,
151,Evolvulus rariflorus,6429939.468,1233303.101,1137512.569,0.29,,,
152,Evolvulus riedelii,1736203.395,107764.3486,23947.63303,0.58,,,
153,Fridericia crassa,969879.1376,443031.211,407109.7615,0.16,,,
154,Froelichiella grisea,167633.4312,59869.08257,59869.08257,0.19,,,
155,Galianthe souzae,107764,0,0,1.00,,,
156,Gaylussacia centunculifolia,371188.3119,119738.1651,107764.3486,0.22,,,
157,Gaylussacia oleifolia,1915810.642,526847.9266,443031.211,0.25,,,
158,Gochnatia rotundifolia,455005.0275,11973.81651,0,1.00,,,
159,Gomphrena paranensis,179607,0,0,1.00,,,
160,Gomphrena regeliana,455005.0275,35921.44954,0,1.00,,,
161,Gouania inornata,1820020.11,203554.8807,143685.7982,0.40,,,
162,Goyazia petraea,1843967.743,395135.945,311319.2294,0.30,,,
163,Griffinia aracensis,119738.1651,35921.44954,11973.81651,0.37,,,
164,Griffinia nocturna,335266.8624,95790.53211,95790.53211,0.22,,,
165,Grobya cipoensis,1496727.064,466978.844,395135.945,0.23,,,
166,Gymnopogon doellii,826193.3395,143685.7982,107764.3486,0.33,,,
167,Habranthus irwinianus,1532648.514,478952.6606,407109.7615,0.23,,,
168,Hadrolaelia brevipedunculata,1676334.312,502900.2936,419083.578,0.24,,,
169,Hadrolaelia jongheana,969879.1376,347240.6789,311319.2294,0.20,,,
170,Hemipogon abietoides,95790.53211,47895.26606,47895.26606,0.13,,,
171,Hemipogon furlanii,3077270.844,838167.156,718428.9908,0.25,,,
